,Property,Price_Range,Location,Agency,Unit,Unit_Price (euro),Rooms,Area (squared meter),Bathrooms,Stage
96,Appartements dans programme neuf à Steinsel,"€ 898,772 - € 1,490,516",Steinsel,LA immo Sàrl,"Appartement 2 chambres neuf, rez-de-chaussée, Heisdorf, Steinsel",898772,2,68,,T
97,Appartements dans programme neuf à Steinsel,"€ 898,772 - € 1,490,516",Steinsel,LA immo Sàrl,"Appartement 2 chambres neuf, rez-de-chaussée, Heisdorf, Steinsel",978972,2,82,,T
98,Appartements dans programme neuf à Steinsel,"€ 898,772 - € 1,490,516",Steinsel,LA immo Sàrl,"Appartement 2 chambres neuf, rez-de-chaussée, Heisdorf, Steinsel",983916,2,83,,T
99,Appartements dans programme neuf à Steinsel,"€ 898,772 - € 1,490,516",Steinsel,LA immo Sàrl,"Appartement 2 chambres neuf, rez-de-chaussée, Heisdorf, Steinsel",1009563,2,83,,T
100,Appartements dans programme neuf à Steinsel,"€ 898,772 - € 1,490,516",Steinsel,LA immo Sàrl,"Appartement 2 chambres neuf, rez-de-chaussée, Heisdorf, Steinsel",1020782,2,82,,T
101,Appartements dans programme neuf à Steinsel,"€ 898,772 - € 1,490,516",Steinsel,LA immo Sàrl,"Appartement 2 chambres neuf, rez-de-chaussée, Heisdorf, Steinsel",1080269,2,87,,T
102,Appartements dans programme neuf à Steinsel,"€ 898,772 - € 1,490,516",Steinsel,LA immo Sàrl,"Appartement 3 chambres neuf, rez-de-chaussée, Heisdorf, Steinsel",1398240,3,130,,T
103,Appartements dans programme neuf à Steinsel,"€ 898,772 - € 1,490,516",Steinsel,LA immo Sàrl,"Appartement 3 chambres neuf, rez-de-chaussée, Heisdorf, Steinsel",1490516,3,136,,T
104,Maisons individuelles dans programme neuf à Erpeldange-sur-Sûre,"€ 1,489,000 - € 1,679,000",Erpeldange-sur-Sûre,LA immo Sàrl,"Maison individuelle 171 m², neuve, Ingeldorf, Erpeldange-sur-Sûre",1489000,4,171,1,
105,Maisons individuelles dans programme neuf à Erpeldange-sur-Sûre,"€ 1,489,000 - € 1,679,000",Erpeldange-sur-Sûre,LA immo Sàrl,"Maison individuelle 171 m², neuve, Ingeldorf, Erpeldange-sur-Sûre",1499000,4,171,1,
106,Maisons individuelles dans programme neuf à Erpeldange-sur-Sûre,"€ 1,489,000 - € 1,679,000",Erpeldange-sur-Sûre,LA immo Sàrl,"Maison individuelle 171 m², neuve, Ingeldorf, Erpeldange-sur-Sûre",1504000,4,171,1,
107,Maisons individuelles dans programme neuf à Erpeldange-sur-Sûre,"€ 1,489,000 - € 1,679,000",Erpeldange-sur-Sûre,LA immo Sàrl,"Maison individuelle 171 m², neuve, Ingeldorf, Erpeldange-sur-Sûre",1504000,4,171,1,
