,property,price_range,location,property_link,agency,unit,unit_price,unit_info
55,Appartements et Appartements-studio dans programme neuf à Bertrange,"€ 612,991 - € 3,112,007",Bertrange,https://www.immotop.lu/annonces/396125/132017/,Venice Consulting SA,"Appartement 1 chambre neuf, rez-de-chaussée, Bertrange, Bertrange","€ 717,555","{'chambre/pièce': '1', 'superficie': '43\n m²', 'salle de bain': '1', 'étage': '1'}"
56,Appartements et Appartements-studio dans programme neuf à Bertrange,"€ 612,991 - € 3,112,007",Bertrange,https://www.immotop.lu/annonces/396125/132015/,Venice Consulting SA,"Appartement 1 chambre neuf, rez-de-chaussée, Bertrange, Bertrange","€ 717,555","{'chambre/pièce': '1', 'superficie': '43\n m²', 'salle de bain': '1', 'étage': '1'}"
57,Appartements et Appartements-studio dans programme neuf à Bertrange,"€ 612,991 - € 3,112,007",Bertrange,https://www.immotop.lu/annonces/396125/132021/,Venice Consulting SA,"Appartement 2 chambres neuf, rez-de-chaussée, Bertrange, Bertrange","€ 877,271","{'chambres/pièces': '2', 'superficie': '72\n m²', 'salle de bain': '1', 'étage': 'T'}"
58,Appartements et Appartements-studio dans programme neuf à Bertrange,"€ 612,991 - € 3,112,007",Bertrange,https://www.immotop.lu/annonces/396125/132023/,Venice Consulting SA,"Appartement 1 chambre neuf, rez-de-chaussée, Bertrange, Bertrange","€ 933,531","{'chambre/pièce': '1', 'superficie': '75\n m²', 'salle de bain': '1', 'étage': 'T'}"
59,Appartements et Appartements-studio dans programme neuf à Bertrange,"€ 612,991 - € 3,112,007",Bertrange,https://www.immotop.lu/annonces/396125/132025/,Venice Consulting SA,"Appartement 2 chambres neuf, rez-de-chaussée, Bertrange, Bertrange","€ 1,128,679","{'chambres/pièces': '2', 'superficie': '89\n m²', 'salle de bain': '1', 'étage': '1'}"
60,Appartements et Appartements-studio dans programme neuf à Bertrange,"€ 612,991 - € 3,112,007",Bertrange,https://www.immotop.lu/annonces/396125/132027/,Venice Consulting SA,"Appartement 2 chambres neuf, rez-de-chaussée, Bertrange, Bertrange","€ 1,162,985","{'chambres/pièces': '2', 'superficie': '93\n m²', 'salle de bain': '1', 'étage': '1'}"
61,Appartements et Appartements-studio dans programme neuf à Bertrange,"€ 612,991 - € 3,112,007",Bertrange,https://www.immotop.lu/annonces/396125/132029/,Venice Consulting SA,"Penthouse neuf, 95 m², Bertrange, Bertrange","€ 1,504,630","{'chambres/pièces': '2', 'superficie': '95\n m²', 'étage': '2'}"
62,Appartements et Appartements-studio dans programme neuf à Bertrange,"€ 612,991 - € 3,112,007",Bertrange,https://www.immotop.lu/annonces/396125/132031/,Venice Consulting SA,"Appartement 3 chambres neuf, rez-de-chaussée, Bertrange, Bertrange","€ 1,516,467","{'chambres/pièces': '3', 'superficie': '121\n m²', 'étage': '1'}"
63,Appartements et Appartements-studio dans programme neuf à Bertrange,"€ 612,991 - € 3,112,007",Bertrange,https://www.immotop.lu/annonces/396125/132033/,Venice Consulting SA,"Penthouse neuf, 125 m², Bertrange, Bertrange","€ 1,977,652","{'chambres/pièces': '2', 'superficie': '125\n m²', 'étage': '2'}"
64,Appartements et Appartements-studio dans programme neuf à Bertrange,"€ 612,991 - € 3,112,007",Bertrange,https://www.immotop.lu/annonces/396125/132035/,Venice Consulting SA,"Penthouse neuf, 209 m², Bertrange, Bertrange","€ 3,106,879","{'chambres/pièces': '4', 'superficie': '209\n m²', 'salles de bain': '2', 'étage': '2'}"
