,Property,Price_Range,Location,Agency,Unit,Unit_Price (euro),Rooms,Area (squared meter),Bathrooms,Stage
116,"Appartement 2 chambres premier étage, Ville Haute, Luxembourg","€ 2,950/mois",Luxembourg,New Immo,"Appartement 2 chambres premier étage, Ville Haute, Luxembourg",2950,2,92,1,1
117,"Appartement 1 chambre premier étage, Ville Haute, Luxembourg","€ 2,350/mois",Luxembourg,New Immo,"Appartement 1 chambre premier étage, Ville Haute, Luxembourg",2350,1,62,1,1
118,"Appartement 1 chambre neuf, premier étage, Kirchberg, Luxembourg","€ 2,100/mois",Luxembourg,New Immo,"Appartement 1 chambre neuf, premier étage, Kirchberg, Luxembourg",2100,1,54,,1
119,"Appartement 2 chambres neuf, 15, Kirchberg, Luxembourg","€ 2,600/mois",Luxembourg,New Immo,"Appartement 2 chambres neuf, 15, Kirchberg, Luxembourg",2600,2,81,,15
120,"Appartement 2 chambres premier étage, Bertrange, Bertrange","€ 1,800/mois",Bertrange,New Immo,"Appartement 2 chambres premier étage, Bertrange, Bertrange",1800,2,99,1,1
121,"Appartement 2 chambres 62, rue Charles Quint, Merl, Luxembourg","€ 2,400/mois",Luxembourg,CASAvitae Sàrl,"Appartement 2 chambres 62, rue Charles Quint, Merl, Luxembourg",2400,2,85,1,3
122,"Maison individuelle 200 m², Hesperange, Howald, Hesperange","€ 3,900/mois",Hesperange,Immobelle,"Maison individuelle 200 m², Hesperange, Howald, Hesperange",3900,4,200,1,
123,"Maison jumelée / mitoyenne 36 Rue Principale, Oberanven, Rameldange, Hostert, Niederanven","€ 3,900/mois",Niederanven,Park Agence,"Maison jumelée / mitoyenne 36 Rue Principale, Oberanven, Rameldange, Hostert, Niederanven",3900,4,186,3,
124,"Appartement 1 chambre 280, rue de Luxembourg, Lallange, Esch-sur-Alzette","€ 1,300/mois",Esch-sur-Alzette,Immogenic,"Appartement 1 chambre 280, rue de Luxembourg, Lallange, Esch-sur-Alzette",1300,1,53,1,4
125,"Appartement 3 chambres Massewee, Gonderange, Junglinster","€ 1,980/mois",Junglinster,STUDIO-APART-HOUSE,"Appartement 3 chambres Massewee, Gonderange, Junglinster",1980,3,117,2,T
126,"Duplex à louer, Ville Haute","€ 5,000/mois",Luxembourg,Bureau Immobilier Léa Kappweiler s.àr.l.,"Duplex à louer, Ville Haute",5000,2,150,1,
127,"Maison jumelée / mitoyenne 172, rue Pierre Krier, Bonnevoie-Verlorenkost, Luxembourg","€ 3,500/mois",Luxembourg,Arens Real Estate Management,"Maison jumelée / mitoyenne 172, rue Pierre Krier, Bonnevoie-Verlorenkost, Luxembourg",3500,4,140,1,
128,"Appartement 1 chambre deuxième étage, Bettembourg, Bettembourg","€ 1,300/mois",Bettembourg,Immobilière Number One,"Appartement 1 chambre deuxième étage, Bettembourg, Bettembourg",1300,1,70,1,2
129,"Appartement 2 chambres 30 rue Général Patton, Hesperange, Howald, Hesperange","€ 1,800/mois",Hesperange,Résidences Les Charmes Sàrl,"Appartement 2 chambres 30 rue Général Patton, Hesperange, Howald, Hesperange",1800,2,91,1,T
130,"Appartement 1 chambre rue d'Ospern, Reichlange, Redange/Attert","€ 1,100/mois",Redange/Attert,Immobilière de l'Attert,"Appartement 1 chambre rue d'Ospern, Reichlange, Redange/Attert",1100,1,85,,1
