,property,price_range,location,property_link,agency,unit,unit_price,unit_info
68,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/62557/,Venice Consulting SA,"Studio route d'Arlon, Belair, Luxembourg","€ 565,690",{'superficie': '43\n m²'}
69,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/62609/,Venice Consulting SA,"Studio route d'Arlon, Belair, Luxembourg","€ 601,937","{'superficie': '44\n m²', 'salle de bain': '1'}"
70,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/62649/,Venice Consulting SA,"Studio route d'Arlon, Belair, Luxembourg","€ 609,323",{'superficie': '42\n m²'}
71,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/63525/,Venice Consulting SA,"Penthouse route d'Arlon, Belair, Luxembourg","€ 609,462","{'superficie': '42\n m²', 'étage': '4'}"
72,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/62565/,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg","€ 623,095","{'chambre/pièce': '1', 'superficie': '47\n m²', 'salle de bain': '1', 'étage': '1'}"
73,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/62661/,Venice Consulting SA,"Penthouse route d'Arlon, Belair, Luxembourg","€ 629,713","{'chambre/pièce': '1', 'superficie': '43\n m²', 'étage': '4'}"
74,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/62675/,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg","€ 629,713","{'chambre/pièce': '1', 'superficie': '43\n m²', 'étage': '4'}"
75,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/62581/,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg","€ 630,133","{'chambre/pièce': '1', 'superficie': '47\n m²', 'salle de bain': '1', 'étage': '2'}"
76,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/62593/,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg","€ 638,264","{'chambre/pièce': '1', 'superficie': '47\n m²', 'salle de bain': '1', 'étage': '3'}"
77,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/62683/,Venice Consulting SA,"Studio route d'Arlon, Belair, Luxembourg","€ 649,212","{'chambre/pièce': '1', 'superficie': '47\n m²'}"
