,Property,Price_Range,Location,Link,Agency,Unit,Unit_Price_euro,Unit_Type,Rooms,Area_sqm,Bathrooms,Stage
61,Appartements dans programme neuf à Kopstal,"€ 719,332 - € 1,203,404",Kopstal,https://www.immotop.lu/annonces/510389/163311/,EspaceImmo,"Appartement 3 chambres neuf, rez-de-chaussée, Bridel, Kopstal",1203404.0,Appartement,3.0,105.0,1.0,1
62,Appartements dans programme neuf à Luxembourg,"€ 718,471 - € 1,368,293",Luxembourg,https://www.immotop.lu/annonces/509599/161831/,New Immo,"Appartement 1 chambre neuf, rez-de-chaussée, Belair, Luxembourg",718471.0,Appartement,1.0,47.0,1.0,T
63,Appartements dans programme neuf à Luxembourg,"€ 718,471 - € 1,368,293",Luxembourg,https://www.immotop.lu/annonces/509599/161839/,New Immo,"Appartement 1 chambre neuf, rez-de-chaussée, Belair, Luxembourg",761041.0,Appartement,1.0,45.0,1.0,T
64,Appartements dans programme neuf à Luxembourg,"€ 718,471 - € 1,368,293",Luxembourg,https://www.immotop.lu/annonces/509599/161851/,New Immo,"Appartement 1 chambre neuf, rez-de-chaussée, Belair, Luxembourg",990402.0,Appartement,1.0,59.0,1.0,1
65,Appartements dans programme neuf à Luxembourg,"€ 718,471 - € 1,368,293",Luxembourg,https://www.immotop.lu/annonces/509599/161857/,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Belair, Luxembourg",1260080.0,Appartement,2.0,73.0,1.0,T
66,Appartements dans programme neuf à Luxembourg,"€ 718,471 - € 1,368,293",Luxembourg,https://www.immotop.lu/annonces/509599/161863/,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Belair, Luxembourg",1368293.0,Appartement,2.0,80.0,1.0,2
67,Appartements dans programme neuf à Luxembourg,"€ 786,093 - € 1,278,306",Luxembourg,https://www.immotop.lu/annonces/509615/161933/,New Immo,"Appartement 1 chambre avenue du X Septembre, Belair, Luxembourg",786093.0,Appartement,1.0,49.0,,T
68,Appartements dans programme neuf à Luxembourg,"€ 786,093 - € 1,278,306",Luxembourg,https://www.immotop.lu/annonces/509615/161935/,New Immo,"Appartement 2 chambres avenue du X Septembre, Belair, Luxembourg",1210779.0,Appartement,2.0,77.0,,3
69,Appartements dans programme neuf à Luxembourg,"€ 786,093 - € 1,278,306",Luxembourg,https://www.immotop.lu/annonces/509615/161937/,New Immo,"Appartement 2 chambres avenue du X Septembre, Belair, Luxembourg",1217119.0,Appartement,2.0,77.0,,2
70,Appartements dans programme neuf à Luxembourg,"€ 786,093 - € 1,278,306",Luxembourg,https://www.immotop.lu/annonces/509615/161941/,New Immo,"Appartement 2 chambres avenue du X Septembre, Belair, Luxembourg",1217938.0,Appartement,2.0,79.0,,T
