,property,price_range,location,property_link,agency,unit,unit_price,unit_type,unit_info
2138,"Maison individuelle 240 m², excellent état, Rodange, Pétange","€ 938,000",Pétange,https://www.immotop.lu/annonces/152841/,ONUD,"Maison individuelle 240 m², excellent état, Rodange, Pétange","€ 938,000",Maison individuelle,"{'chambres/pièces': '4', 'superficie': '240\n m²', 'salles de bain': '2'}"
2139,Immeuble en Vente,"€ 2,075,000",Esch-sur-Alzette,https://www.immotop.lu/annonces/160173/,COLLINI WELTER Immobilière S.à.r.l.,Immeuble en Vente,"€ 2,075,000",Immeuble,"{'superficie': '562\n m²', 'salles de bain': '2', 'étage': 'T'}"
2140,"Duplex à vendre, Dudelange","€ 645,000",Dudelange,https://www.immotop.lu/annonces/369427/,COLLINI WELTER Immobilière S.à.r.l.,"Duplex à vendre, Dudelange","€ 645,000",Duplex,"{'chambres/pièces': '2', 'superficie': '89\n m²', 'salle de bain': '1'}"
2141,"Appartement 2 chambres neuf, quatrième étage, Dudelange, Dudelange","€ 974,271",Dudelange,https://www.immotop.lu/annonces/194273/,Von Poll Real Estate,"Appartement 2 chambres neuf, quatrième étage, Dudelange, Dudelange","€ 974,271",Appartement,"{'chambres/pièces': '2', 'superficie': '104\n m²', 'salle de bain': '1', 'étage': '4'}"
2142,"Appartement 2 chambres neuf, quatrième étage, Dudelange, Dudelange","€ 989,641",Dudelange,https://www.immotop.lu/annonces/193987/,Von Poll Real Estate,"Appartement 2 chambres neuf, quatrième étage, Dudelange, Dudelange","€ 989,641",Appartement,"{'chambres/pièces': '2', 'superficie': '103\n m²', 'salle de bain': '1', 'étage': '4'}"
2143,"Maison individuelle 220 m², Hautcharage, Käerjeng","€ 598,000",Käerjeng,https://www.immotop.lu/annonces/453445/,COLLINI WELTER Immobilière S.à.r.l.,"Maison individuelle 220 m², Hautcharage, Käerjeng","€ 598,000",Maison individuelle,{'superficie': '220\n m²'}
2144,"Maison individuelle 245 m², neuve, Medingen, Moutfort, Contern","€ 1,523,520",Contern,https://www.immotop.lu/annonces/425655/,Wiesen-Piront Construction S.A.,"Maison individuelle 245 m², neuve, Medingen, Moutfort, Contern","€ 1,523,520",Maison individuelle,"{'chambres/pièces': '3', 'superficie': '245\n m²', 'salles de bain': '2'}"
2145,Maisons individuelles dans programme neuf à Kehlen,"€ 1,657,659 - € 1,841,707",Kehlen,https://www.immotop.lu/annonces/158197/63935/,Wiesen-Piront Construction S.A.,"Maison individuelle 280 m², neuve, Olm, Kehlen","€ 1,657,659",Maison individuelle,"{'chambres/pièces': '4', 'superficie': '280\n m²', 'salles de bain': '3'}"
2146,Maisons individuelles dans programme neuf à Kehlen,"€ 1,657,659 - € 1,841,707",Kehlen,https://www.immotop.lu/annonces/158197/63915/,Wiesen-Piront Construction S.A.,"Maison individuelle 300 m², neuve, Olm, Kehlen","€ 1,791,145",Maison individuelle,"{'chambres/pièces': '4', 'superficie': '300\n m²', 'salles de bain': '3'}"
2147,Maisons individuelles dans programme neuf à Kehlen,"€ 1,657,659 - € 1,841,707",Kehlen,https://www.immotop.lu/annonces/158197/63923/,Wiesen-Piront Construction S.A.,"Maison individuelle 300 m², neuve, Olm, Kehlen","€ 1,841,707",Maison individuelle,"{'chambres/pièces': '4', 'superficie': '300\n m²', 'salles de bain': '3'}"
2148,"Studio à vendre, Limpertsberg","€ 580,000",Luxembourg,https://www.immotop.lu/annonces/364599/,Von Poll Real Estate,"Studio à vendre, Limpertsberg","€ 580,000",Studio,"{'superficie': '36\n m²', 'salle de bain': '1'}"
2149,"Appartement 1 chambre rez-de-chaussée, Belvaux, Sanem","€ 945,000",Sanem,https://www.immotop.lu/annonces/353723/,Wiesen-Piront Construction S.A.,"Appartement 1 chambre rez-de-chaussée, Belvaux, Sanem","€ 945,000",Appartement,"{'chambre/pièce': '1', 'superficie': '92\n m²', 'salle de bain': '1', 'étage': 'T'}"
2150,"Appartement 2 chambres excellent état, quatrième étage, Ville Haute, Luxembourg","€ 1,480,000",Luxembourg,https://www.immotop.lu/annonces/187005/,Von Poll Real Estate,"Appartement 2 chambres excellent état, quatrième étage, Ville Haute, Luxembourg","€ 1,480,000",Appartement,"{'chambres/pièces': '2', 'superficie': '96\n m²', 'salles de bain': '2', 'étage': '4'}"
2151,"Appartement 3 chambres rez-de-chaussée, Steinsel, Steinsel","€ 1,390,000",Steinsel,https://www.immotop.lu/annonces/158203/,Wiesen-Piront Construction S.A.,"Appartement 3 chambres rez-de-chaussée, Steinsel, Steinsel","€ 1,390,000",Appartement,"{'chambres/pièces': '3', 'superficie': '135\n m²', 'salles de bain': '2', 'étage': 'T'}"
2152,"Appartement neuf, rez-de-chaussée, Belair, Luxembourg","€ 773,950",Luxembourg,https://www.immotop.lu/annonces/31425/,Von Poll Real Estate,"Appartement neuf, rez-de-chaussée, Belair, Luxembourg","€ 773,950",Appartement,{'étage': 'T'}
2153,"Maison individuelle 300 m², neuve, Olm, Kehlen","€ 1,791,145",Kehlen,https://www.immotop.lu/annonces/193219/,Wiesen-Piront Construction S.A.,"Maison individuelle 300 m², neuve, Olm, Kehlen","€ 1,791,145",Maison individuelle,"{'chambres/pièces': '4', 'superficie': '300\n m²', 'salles de bain': '3'}"
